id,Company,Country,Industry,Sales (M),Profits (M),Assets (M),Market Value (M),Employee
1023,Exelon,United States,Electric Utilities,28700,2300,95400,31400,-
1024,EXOR,Italy,Investment Services,156900,580,174700,9100,-
1025,EXOR Group,Italy,Diversified Financials,152591,825 ,170419,-,303247
1026,Expedia,United States,Business & Personal Services,6700,765,15500,16200,-
1027,Expeditors International,United States,Air Courier,6600,457,2600,8900,-
1028,Expeditors International of Washington,U.S.,Transportation and Logistics,6617,457 ,2582,8911,15397
1029,Experian,Ireland,Business & Personal Services,4700,674,7500,17400,-
1030,Express,U.S.,Specialty Retailers: Apparel,2350,117 ,1179,1681,10710
1031,Express Scripts,United States,Healthcare Services,101800,2500,54000,46500,-
1032,Express Scripts Holding,U.S.,Miscellaneous,101752,2476,53243,-,25900
1033,Exxon Mobil,U.S.,Petroleum Refining,246204,16150,336758,-,75600
1034,ExxonMobil,United States,Oil & Gas Operations,236800,16200,336800,363300,-
1035,Ezdan Holding Group,Qatar,Real Estate,505,456,12900,14400,-
1036,Facebook,United States,Computer Services,17900,3700,49400,314800,-
1037,Fairfax Financial,Canada,Property & Casualty Insurance,11100,586,41500,13800,-
1038,Falabella,Chile,Department Stores,12800,794,17800,18400,-
1039,Fannie Mae,United States,Investment Services,112000,11000,3221900,2000,-
1040,Fanuc,Japan,Other Industrial Equipment,5700,1500,12600,34900,-
1041,Far Eastern New Century,Taiwan,Diversified Chemicals,6900,253,15800,4100,-
1042,Farmers Insurance Exchange,U.S.,Insurance: Property and Casualty (Mutual),12626,(114),15567,-,13184
1043,Fast Retailing,Japan,Apparel/Footwear Retail,14400,433,11600,30400,-
1044,Fastenal,United States,Home Improvement Retail,3900,515,2600,13200,-
1045,FBN Holdings,Nigeria,Regional Banks,2800,404,21600,599,-
1046,FCC,Spain,Construction Services,7200,-51,14000,3200,-
1047,FedEx,United States,Air Courier,49500,1100,37800,44600,-
1048,Femsa,Mexico,Beverages,19400,1100,23700,33600,-
1049,Ferozsons Laboratories,PAKISTAN,-,56,9,-,305,-
1050,Ferrellgas Partners,U.S.,Energy,2024,30 ,2464,1705,4028
1051,Ferrovial,Spain,Other Transportation,10800,798,27600,15600,-
1052,Fertitta Entertainment,United States,"Hotels, Restaurants & Leisure",3300,-,-,-,60000
1053,Fiat Chrysler Automobiles,United Kingdom,Auto & Truck Manufacturers,122700,370,114100,10400,-
1054,FIBI Holdings,Israel,Regional Banks,1000,55,32300,514,-
1055,Fidelity Investments,United States,Diversified Financials,15900,-,-,-,45000
1056,Fidelity National Financial,United States,Property & Casualty Insurance,9200,527,14100,9100,-
1057,Fidelity National Information,United States,Business & Personal Services,6600,632,26300,21300,-
1058,Fidelity National Information Services,U.S.,Financial Data Services,6595,632 ,26269,20564,55000
1059,Fifth Third Bancorp,United States,Regional Banks,6800,1700,142400,14600,-
1060,Financial Street Holdings,China,Real Estate,3100,540,16500,4200,-
1061,Financiere de l'Odet,France,Conglomerates,12000,329,23400,6300,-
1062,Finatis,France,Food Retail,51900,-79,49300,305,-
1063,Finmeccanica,Italy,Aerospace & Defense,14400,265,28500,7100,-
1064,First American Financial,U.S.,Insurance: Property and Casualty (Stock),5176,288 ,8254,4164,17955
1065,First Citizens BancShares,United States,Regional Banks,1400,207,31500,3100,-
1066,First Data,U.S.,Financial Data Services,11451,"(1,481)",34362,11669,24000
1067,First Financial Holding,Taiwan,Regional Banks,1800,504,76100,5600,-
1068,First Gulf Bank,United Arab Emirates,Regional Banks,3000,1600,61900,16000,-
1069,First Niagara Financial,United States,Thrifts & Mortgage Finance,1500,221,40000,3800,-
1070,First Pacific,Hong Kong,Investment Services,6400,85,17600,2700,-
1071,First Republic Bank,United States,Regional Banks,2100,555,62100,10300,-
1072,First Solar,U.S.,Energy,3579,546 ,7316,6968,6350
1073,"First Solar,",United States,Electronics,3600,546,7300,6300,-
1074,FirstEnergy,United States,Electric Utilities,14900,578,52200,14600,-
1075,FirstRand,South Africa,Major Banks,5800,1700,73500,18500,-
1076,Fiserv,United States,Software & Programming,5300,712,9300,21900,-
1077,Fixstars,JAPAN,-,30,4,-,167,-
1078,FLC Group,VIETNAM,-,243,41,-,145,-
1079,FleetCor Technologies,United States,Business & Personal Services,1700,362,7900,14300,-
1080,Flex-N-Gate,United States,Consumer Durables,5300,-,-,-,13000
1081,Flextronics International,Singapore,Electronics,24600,518,13100,6700,-
1082,Flowers Foods,U.S.,Food Consumer Products,3779,189 ,2885,3919,10900
1083,Flowserve,U.S.,Industrial Machinery,4561,268 ,5104,5776,19000
1084,Fluor,United States,Construction Services,18100,413,7600,7600,-
1085,FM Global,U.S.,Insurance: Property and Casualty (Stock),4343,738 ,18905,-,5483
1086,FMC,U.S.,Chemicals,3471,489 ,6326,5399,6000
1087,FMC Technologies,United States,Oil Services & Equipment,6500,393,6400,6700,-
1088,Focus Media Information Technology,China,Computer Hardware,1300,1,98,20900,-
1089,Follett,United States,Retailing,2500,-,-,-,5000
1090,Fonci®®re des R®¶gions,France,Real Estate,1000,534,20400,6200,-
1091,Foot Locker,United States,Apparel/Footwear Retail,7400,541,3800,8200,-
1092,Ford Motor,United States,Auto & Truck Manufacturers,149600,7400,224900,54200,-
1093,Forever 21,United States,Retailing,4400,-,-,-,30000
1094,Formosa Chemicals,Taiwan,Specialized Chemicals,10400,869,15600,15200,-
1095,Formosa Petrochemical,Taiwan,Oil & Gas Operations,19800,1500,13000,26700,-
1096,Formosa Plastics,Taiwan,Specialized Chemicals,6000,972,12900,16000,-
1097,Fortescue Metals Group,Australia,Iron & Steel,7000,318,20400,8100,-
1098,Forth Smart Service,THAILAND,-,46,8,-,387,-
1099,Fortis (Canada),Canada,Electric Utilities,5300,629,21300,8700,-
1100,Fortum,Finland,Electric Utilities,3800,-160,24700,12900,-
1101,Fortune Brands Home & Security,U.S.,"Home Equipment, Furnishings",4658,315 ,4879,8551,21400
1102,Fossil Group,U.S.,Apparel,3229,221 ,2356,2138,15100
1103,Foster Farms,United States,"Food, Drink & Tobacco",2300,-,-,-,12000
1104,Fosun International,China,Iron & Steel,12500,1300,62400,12600,-
1105,Founder Securities,China,Investment Services,927,682,27800,9600,-
1106,Foxsemicon Integrated Technology,TAIWAN,-,170,16,-,173,-
1107,Franklin Resources,United States,Investment Services,7700,1900,16200,24100,-
1108,Franshion Properties (China),Hong Kong,Consumer Financial Services,3000,489,20500,3100,-
1109,Freddie Mac,United States,Investment Services,66500,6400,1986100,1000,-
1110,Freeport,United States,Diversified Metals & Mining,16200,-12200,46600,14600,-
1111,Freeport-McMoRan,U.S.,"Mining, Crude-Oil Production",15877,"(12,236)",46577,12944,34500
1112,Fresenius,Germany,Medical Equipment & Supplies,30600,1500,46900,40000,-
1113,Frontier Communications,United States,Telecommunications services,5600,-199,27100,6600,-
1114,Fry's Electronics,United States,Retailing,2200,-,-,-,14000
1115,Fubon Financial,Taiwan,Investment Services,21600,2000,181900,12600,-
1116,Fuji Heavy Industries,Japan,Auto & Truck Manufacturers,26700,3400,20200,27600,-
1117,Fujian Newland Computer,CHINA / HONG KONG,-,477,53,-,2876,-
1118,Fujifilm Holdings,Japan,Consumer Electronics,20800,901,28800,21200,-
1119,Fujitsu,Japan,Computer Hardware,39600,641,26700,7800,-
1120,Fukuoka Financial Group,Japan,Regional Banks,1900,349,135900,3200,-
1121,G.M. Breweries,INDIA,-,55,9,-,113,-
1122,GAIL India,India,Natural Gas Utilities,9900,517,12100,7000,-
1123,Galaxy Entertainment,Hong Kong,Casinos & Gaming,6600,537,7100,15100,-
1124,Galp Energia,Portugal,Oil & Gas Operations,17200,144,13900,11300,-
1125,GameStop,United States,Specialty Stores,9400,403,4300,3400,-
1126,Gap,United States,Apparel/Footwear Retail,15800,920,7500,9500,-
1127,Garanti Bank,Turkey,Regional Banks,8300,1400,94200,12500,-
1128,Garmin,United States,Consumer Electronics,2800,456,4500,8100,-
1129,Gartner,U.S.,Information Technology Services,2163,176 ,2175,7357,7834
1130,Gas Natural Fenosa,Spain,Natural Gas Utilities,28800,1700,52300,20600,-
1131,Gates Corporation,United States,Materials,3000,-,-,-,14000
1132,Gazprom,Russia,Oil & Gas Operations,102100,4900,250200,57100,-
1133,GCL System Integration Technology,China,Electrical Equipment,1200,940,1200,5700,-
1134,GD Power Development,China,Electric Utilities,8600,694,38500,9000,-
1135,GDF SUEZ,France,Electric Utilities,77500,-5100,174500,39000,-
1136,GEA Group,Germany,Conglomerates,5100,401,6800,9200,-
1137,Geberit,Switzerland,Construction Materials,2700,439,3600,13500,-
1138,Gecina,France,Real Estate,658,1800,14400,8700,-
1139,Gemdale,China,Real Estate,4700,705,21200,8400,-
1140,Gemdale Properties & Investment,CHINA / HONG KONG,-,711,168,-,947,-
1141,General Cable,U.S.,"Electronics, Electrical Equip.",4515,(122),2467,599 ,12000
1142,General Dynamics,United States,Aerospace & Defense,31500,3000,32000,42900,-
1143,General Electric,United States,Conglomerates,122400,1700,492700,285600,-
1144,General Growth Properties,United States,Real Estate,2400,1400,24100,25200,-
1145,General Mills,United States,Food Processing,16900,1500,21600,36000,-
1146,General Motors,United States,Auto & Truck Manufacturers,152400,9700,194500,49600,-
1147,General Tyre & Rubber of Pakistan,PAKISTAN,-,94,7,-,110,-
1148,Generali Group,Italy,Diversified Insurance,97100,2300,539300,24100,-
1149,Genesco,U.S.,Specialty Retailers: Apparel,3022,95 ,1542,1540,18363
1150,Genesis Energy,U.S.,Pipelines,2247,423 ,5460,3496,1400
1151,Genting,Malaysia,Casinos & Gaming,4600,355,20800,9000,-
1152,Genting Hong Kong,Hong Kong,Hotels & Motels,690,2100,6500,2900,-
1153,Genuine Parts,United States,Specialty Stores,15300,703,8500,14500,-
1154,Genworth Financial,United States,Diversified Insurance,8800,-615,106400,1500,-
1155,George Weston,Canada,Food Retail,36700,412,27200,11200,-
1156,GF Securities,China,Investment Services,6700,2100,64500,18800,-
1157,GFNorte,Mexico,Regional Banks,6900,1100,69700,15200,-
1158,G-I Holdings,United States,Construction,3200,-,-,-,3000
1159,Giant Eagle,United States,Food Markets,9500,-,-,-,34000
1160,G-III Apparel Group,U.S.,Apparel,2344,114 ,1184,2227,8919
1161,Gilbane,United States,Construction,4500,-,-,-,2678
1162,Gilead Sciences,United States,Biotechs,32200,18100,51800,138100,-
1163,Givaudan,Switzerland,Household/Personal Care,4600,660,6300,18100,-
1164,Gjensidige Forsikring,Norway,Property & Casualty Insurance,3100,469,14500,8300,-
1165,GKN,United Kingdom,Auto & Truck Parts,11000,301,11100,7200,-
1166,Glarun Technology,CHINA / HONG KONG,-,174,30,-,2583,-
1167,GlaxoSmithKline,United Kingdom,Pharmaceuticals,36600,12900,78800,104200,-
1168,Glencore,Switzerland,"Mining, Crude-Oil Production",170497,"(4,964)",128485,-,102388
1169,Glencore International,Switzerland,Diversified Metals & Mining,170500,-5000,128500,33600,-
1170,Global Logistic Properties,Singapore,Real Estate,777,648,22500,6800,-
1171,Global Partners,U.S.,Wholesalers: Diversified,10315,44 ,2664,459 ,1890
1172,Global Payments,U.S.,Financial Data Services,2774,278 ,5794,8447,4438
1173,Glory Science,TAIWAN,-,57,9,-,178,-
1174,GNC Holdings,U.S.,Food and Drug Stores,2639,219 ,2552,2357,11650
1175,Goldcorp,Canada,Diversified Metals & Mining,4400,-4400,21400,14200,-
1176,Golden Agri-Resources,Singapore,Food Processing,6500,-17,14600,4000,-
1177,Golden Living,United States,Health Care Equipment & Svcs,3100,-,-,-,42000
1178,Golden State Foods,United States,"Food, Drink & Tobacco",6200,-,-,-,6240
1179,Goldman Sachs Group,United States,Investment Services,32800,4400,861400,73000,-
1180,Golub,United States,Food Markets,3400,-,-,-,20626
1181,Goodman Group,Australia,Real Estate,1000,1200,8900,9300,-
1182,Goodyear,United States,Auto & Truck Parts,16400,307,16400,8700,-
1183,Goodyear Tire & Rubber,U.S.,Motor Vehicles and Parts,16443,307 ,16439,8813,66000
1184,Gordon Food Service,United States,"Food, Drink & Tobacco",12600,-,-,-,17000
1185,GovSmart,United States,Business Services & Supplies,69 ,-,-,-,14
1186,GPT Group,Australia,Real Estate,518,650,8000,6700,-
1187,Graham Holdings,U.S.,Education,2984,(101),4353,2705,11585
1188,Grand-Tek Technology,TAIWAN,-,21,3,-,33,-
1189,Granite Construction,U.S.,"Engineering, Construction",2371,61 ,1628,1884,3200
1190,Graphic Packaging Holding,U.S.,"Packaging, Containers",4160,230 ,4256,4151,12000
1191,Graybar Electric,U.S.,Wholesalers: Diversified,6110,91 ,2050,-,8300
1192,Great Eagle Holdings,Hong Kong,Hotels & Motels,1100,427,13600,2700,-
1193,Great Lakes Cheese,United States,"Food, Drink & Tobacco",3000,-,-,-,1800
1194,Great Plains Energy,U.S.,Utilities: Gas and Electric,2502,213 ,10739,4980,2899
1195,Great Portland Estates,United Kingdom,Real Estate,197,977,5500,3600,-
1196,Great Wall Motor,China,Auto & Truck Manufacturers,11600,1300,11100,10400,-
1197,Gree Electric Appliances,China,Household Appliances,19700,2300,26800,-,-
1198,Green Plains,U.S.,Energy,2966,7 ,1929,614 ,995
1199,Greenbrier Cos.,U.S.,Transportation Equipment,2605,193 ,1791,790 ,10689
1200,Greenergy Fuels Holdings,Britain,Energy,22479,4 ,2604,-,594
1201,Greenland Holding Group,China,Real estate,33024,1096,92466,-,25621
1202,Greenland Holdings Group,China,Real Estate,21000,773,90500,24200,-
1203,Greif,U.S.,"Packaging, Containers",3617,72 ,3316,1569,13150
1204,Grifols,Spain,Biotechs,4400,590,10400,13600,-
1205,Group 1 Automotive,United States,Specialty Stores,10600,90,4400,1300,-
1206,Groupe BPCE,France,Banks: Commercial and Savings,56209,3596,"1,267,090 ",-,102886
1207,Groupon,U.S.,Internet Services and Retailing,3187,21 ,1796,2342,9872
1208,Grupa PZU,Poland,Property & Casualty Insurance,5300,621,26400,7800,-
1209,Grupo ACS,Spain,Construction Services,38700,804,38300,10200,-
1210,Grupo Aval,Colombia,Investment Services,7500,779,68800,9000,-
1211,Grupo Bimbo,Mexico,Food Processing,13800,329,11600,13500,-
1212,Grupo Carso,Mexico,Conglomerates,5600,390,5400,10500,-
1213,Grupo Galicia,Argentina,Regional Banks,4200,469,12500,3900,-
1214,Grupo Inbursa,Mexico,Regional Banks,3200,739,25800,13300,-
1215,Grupo Mexico,Mexico,Diversified Metals & Mining,8200,1200,22200,18500,-
1216,Grupo Televisa,Mexico,Broadcasting & Cable,5500,686,16300,15600,-
1217,GS Caltex,South Korea,Petroleum Refining,25061,859 ,16164,-,3969
1218,GS Engineering,South Korea,Construction Services,9300,23,11100,1700,-
1219,GS Holdings,South Korea,Oil & Gas Operations,10900,435,16200,4700,-
1220,Guangdong Electric Power,China,Electric Utilities,4100,501,11100,4300,-
1221,Guangdong Investment,Hong Kong,Diversified Utilities,1200,504,7000,8500,-
1222,Guangdong Wens Foodstuffs Group,China,Food Processing,7700,987,5300,26400,-
1223,Guangzhou Automobile Group,China,Auto & Truck Manufacturers,4500,672,10300,17000,-
1224,Guangzhou Automobile Industry Group,China,Motor Vehicles and Parts,34440,498 ,26847,-,67426
1225,Guangzhou R&F,China,Real Estate,7000,997,28300,4600,-
1226,Guaranty Trust Bank,Nigeria,Regional Banks,1500,491,13300,2300,-
1227,Guardian Industries,United States,Construction,5600,-,-,-,17000
1228,Guardian Life Ins. Co. of America,U.S.,"Insurance: Life, Health (Mutual)",12628,411 ,65072,-,8000
1229,Gudang Garam,Indonesia,Tobacco,5300,480,4600,9800,-
1230,Guess,U.S.,Apparel,2204,82 ,1539,1577,13500
1231,Guidespark,United States,IT Software & Services,10 ,-,-,-,174
1232,Guitar Center,United States,"Hotels, Restaurants & Leisure",2400,-,-,-,10000
1233,Gulf States Toyota,United States,Consumer Durables,8400,-,-,-,2000
1234,Gunma Bank,Japan,Regional Banks,1100,239,63700,2000,-
1235,Guosen Securities,China,Investment Services,6000,1800,36200,19500,-
1236,Guotai Junan Securities,China,Major Banks,3700,1100,96100,22200,-
1237,Guoxuan High-tech,CHINA / HONG KONG,-,437,93,-,5332,-
1238,H&M,Sweden,Apparel/Footwear Retail,21700,2300,10300,60800,-
1239,H&R Block,U.S.,Diversified Financials,3079,474 ,4515,5929,50400
1240,H.B. Fuller,U.S.,Chemicals,2084,87 ,2042,2122,4425
1241,Habib Bank,Pakistan,Regional Banks,1700,342,21200,2400,-
1242,Hachijuni Bank,Japan,Regional Banks,1300,222,69100,2400,-
1243,Hain Celestial Group,U.S.,Food Consumer Products,2689,168 ,3097,4218,6307
1244,Hainan Airlines,China,Airline,5600,479,19300,5800,-
1245,Haitong Securities,China,Investment Services,8700,2500,88800,25100,-
1246,HAL Trust,Netherlands,Investment Services,8700,699,17300,15700,-
1247,Halkbank,Turkey,Regional Banks,6300,1000,66700,4800,-
1248,Halliburton,United States,Oil Services & Equipment,23600,-671,36900,35100,-
1249,Hallmark Cards,United States,Media,3700,-,-,-,27000
1250,Halyk Bank,Kazakhstan,Regional Banks,1600,539,13100,1100,-
1251,Hammerson,United Kingdom,Real Estate,457,1100,13200,6500,-
1252,Hana Financial Group,South Korea,Regional Banks,11700,780,278800,6700,-
1253,Hanergy Thin Film Power Group,Hong Kong,Electric Utilities,363,-1600,1600,21000,-
1254,Hanesbrands,United States,Apparel/Accessories,5700,429,5600,11100,-
1255,Hang Lung Group,Hong Kong,Real Estate,1200,414,25300,4200,-
1256,Hangzhou CNCR-IT,CHINA / HONG KONG,-,58,11,-,1076,-
